house_type,num_bedrooms,floor_area_sqft,num_floors,num_occupants,num_adults,num_children,climate_zone,city_tier,insulation_quality,window_type,roof_type,has_ac,num_ac_units,ac_star_rating,ac_usage_hrs_per_day,num_ceiling_fans,num_led_bulbs,num_cfl_bulbs,num_incandescent_bulbs,avg_lighting_hrs_per_day,water_heater_type,water_heater_capacity_L,water_heater_usage_hrs_per_day,has_refrigerator,fridge_capacity_L,fridge_star_rating,has_microwave,has_electric_stove,has_dishwasher,dishwasher_cycles_per_week,has_washing_machine,washing_machine_type,washing_cycles_per_week,has_dryer,num_tvs,tv_screen_size_inch,tv_usage_hrs_per_day,num_computers,computer_usage_hrs_per_day,has_solar_panels,solar_capacity_kWp,has_battery_storage,battery_capacity_kWh,daily_energy_consumption_kWh,monthly_energy_consumption_kWh,estimated_peak_load_kW
Apartment,2,706,2,3,1,2,Hot & Dry,Tier 3,Excellent,Triple Pane,Sloped Tiled,1,2,5,8.7,7,24,7,2,8.9,Solar + Backup,15,2.5,1,235,2,1,0,1,10,1,Top Load,8,0,1,32,7.5,2,3.2,1,1,1,10,34.43,1032.8,4.87
Row House,3,1037,2,3,1,2,Temperate,Tier 2,Excellent,Double Pane,Flat RCC,0,0,0,0,2,6,7,2,10.2,Solar + Backup,50,2.2,1,400,5,1,0,0,0,1,Semi-Automatic,3,0,3,50,3.3,2,3.9,0,0,0,0,9.88,296.5,1.24
Independent House,4,1700,2,5,3,2,Hot & Humid,Tier 3,Good,Double Pane,Green Roof,1,2,2,7.3,4,20,7,3,6.9,Solar + Backup,15,1.4,1,280,3,0,1,0,0,1,Top Load,2,0,1,75,4.2,1,7.6,0,0,0,0,40.25,1207.6,5.03
Independent House,3,987,1,2,1,1,Hot & Humid,Tier 2,Excellent,Single Pane,Green Roof,0,0,0,0,7,24,5,4,8,Solar + Backup,25,2.7,1,190,3,0,0,0,0,1,Top Load,5,0,3,75,7.2,1,7,1,5,0,0,0,0,2.09
Apartment,4,1289,1,5,1,4,Hot & Humid,Tier 2,Good,Double Pane,Insulated RCC,0,0,0,0,2,9,0,0,11.2,Electric Geyser,25,2.9,1,400,3,1,1,0,0,1,Front Load,2,0,1,50,7.2,2,4.7,0,0,0,0,21.09,632.8,2.64
Apartment,3,1355,1,1,1,0,Temperate,Tier 2,Good,Double Pane,Sloped Tiled,1,2,4,7.1,3,9,9,4,8.1,Heat Pump,15,1.9,1,235,3,1,1,0,0,1,Semi-Automatic,8,0,2,55,5.9,1,6.1,0,0,0,0,27.99,839.8,3.5
Apartment,3,1192,1,4,1,3,Composite,Tier 2,Average,Double Pane,Sloped Tiled,0,0,0,0,5,22,5,3,4.9,Solar + Backup,10,1.9,1,500,2,0,1,0,0,1,Top Load,9,0,1,65,8.4,1,2.3,0,0,0,0,15.94,478.2,1.99
Villa,4,1525,1,4,1,3,Hot & Dry,Tier 3,Excellent,Double Pane,Flat RCC,1,1,4,12.6,7,23,9,3,6.1,Heat Pump,15,1.2,1,190,4,1,1,0,0,1,Front Load,2,0,1,50,5.9,1,2.4,0,0,0,0,29.45,883.6,3.68
Independent House,2,628,2,2,2,0,Composite,Tier 1,Good,Single Pane,Flat RCC,1,2,2,11.5,7,18,6,2,7.8,Heat Pump,50,2,1,280,4,0,0,0,0,1,Top Load,4,0,0,0,0,2,2.9,1,2,1,10,35.08,1052.4,5.51
Independent House,3,958,1,3,3,0,Composite,Tier 1,Average,Single Pane,Sloped Tiled,0,0,0,0,3,22,8,1,4.4,Electric Geyser,15,1.6,1,400,2,0,1,0,0,1,Top Load,5,0,2,50,7.9,0,0,0,0,0,0,15.26,457.8,1.91
Apartment,2,578,1,2,2,0,Composite,Tier 3,Average,Double Pane,Flat RCC,0,0,0,0,3,5,7,0,8.5,Electric Geyser,35,1.3,1,340,4,1,0,0,0,1,Semi-Automatic,4,1,1,43,4.5,2,10.6,1,3,1,7.5,1.7,50.9,1.9
Row House,5,1299,1,4,1,3,Hot & Humid,Tier 2,Poor,Single Pane,Green Roof,1,1,5,7.3,5,11,7,0,12,Heat Pump,10,0.7,1,165,5,0,0,1,11,0,None,0,0,1,55,5.2,1,4.6,1,3,1,10,19.78,593.3,4.16
Villa,4,1717,2,3,2,1,Temperate,Tier 2,Excellent,Double Pane,Flat RCC,0,0,0,0,6,10,6,1,8.9,Electric Geyser,35,1.1,1,280,5,1,1,1,10,1,Top Load,6,0,2,55,7.3,0,0,0,0,0,0,14.58,437.4,1.82
Apartment,1,300,1,4,2,2,Hot & Dry,Tier 2,Average,Double Pane,Insulated RCC,1,3,4,7.8,7,11,1,3,6.4,Solar + Backup,15,1,1,235,2,0,0,0,0,0,None,0,0,1,50,9.2,2,9.1,0,0,0,0,50.75,1522.4,6.34
Apartment,3,1156,2,2,2,0,Composite,Tier 1,Average,Single Pane,Insulated RCC,1,2,3,17.3,2,16,0,4,6,Electric Geyser,10,1.9,0,0,0,1,1,0,0,1,Front Load,5,0,1,43,3.4,2,10.6,0,0,0,0,64.66,1939.9,8.08
Apartment,4,1329,1,2,1,1,Hot & Humid,Tier 3,Average,Single Pane,Flat RCC,1,2,2,10.5,4,18,1,0,11.4,Electric Geyser,35,2,1,400,5,1,0,0,0,1,Top Load,3,0,2,75,6.1,2,3.4,0,0,0,0,58.36,1750.7,7.29
Apartment,2,759,2,1,1,0,Hot & Dry,Tier 2,Excellent,Double Pane,Flat RCC,1,1,3,4.8,3,15,5,1,10.8,Electric Geyser,35,2,1,190,2,1,0,1,6,1,Top Load,4,0,1,65,3,1,5.9,1,5,0,0,0,0,2.75
Independent House,3,1311,2,2,2,0,Hot & Dry,Tier 1,Good,Single Pane,Green Roof,0,0,0,0,3,18,1,2,7.3,Heat Pump,10,1.5,1,340,1,1,0,0,0,1,Top Load,6,0,2,50,4.2,1,3.6,0,0,0,0,12.59,377.6,1.57
Independent House,4,938,1,3,2,1,Composite,Tier 1,Average,Single Pane,Insulated RCC,0,0,0,0,4,17,9,2,6.2,Solar + Backup,10,1.6,1,340,5,1,1,1,3,1,Top Load,7,0,1,40,7.5,2,3.1,1,10,0,0,0,0,1.98
Apartment,1,518,1,5,3,2,Hot & Humid,Tier 3,Average,Double Pane,Flat RCC,0,0,0,0,2,10,3,3,9.4,Electric Geyser,25,2.6,1,235,3,1,0,0,0,1,Semi-Automatic,9,0,1,75,2.6,1,8.5,0,0,0,0,20.87,626.1,2.61
Independent House,3,1314,1,4,1,3,Temperate,Tier 1,Poor,Double Pane,Flat RCC,1,4,4,7.9,3,20,9,0,5.8,None,0,0,1,165,3,1,0,1,4,0,None,0,0,1,55,7.3,0,0,0,0,0,0,52.76,1582.7,6.59
Apartment,2,754,1,3,3,0,Hot & Humid,Tier 3,Poor,Double Pane,Sloped Tiled,1,2,1,12,4,8,2,4,4.1,Electric Geyser,15,3,0,0,0,1,0,0,0,1,Front Load,6,1,3,75,9.2,1,8.8,0,0,0,0,78.17,2345.2,9.77
Apartment,4,1855,2,6,1,5,Composite,Tier 1,Average,Double Pane,Flat RCC,0,0,0,0,3,23,5,0,5.8,Electric Geyser,50,1.6,1,340,4,1,1,0,0,0,None,0,0,2,55,9.8,1,11.8,0,0,0,0,17.45,523.4,2.18
Apartment,5,1302,2,4,2,2,Temperate,Tier 2,Average,Single Pane,Flat RCC,0,0,0,0,6,13,7,2,6.9,Heat Pump,25,2.1,1,340,3,1,0,0,0,1,Semi-Automatic,3,0,3,65,3.7,1,6.3,0,0,0,0,12.73,381.8,1.59
Independent House,4,1252,2,5,1,4,Composite,Tier 3,Average,Double Pane,Insulated RCC,1,2,5,7.7,6,22,5,0,5.3,Heat Pump,10,0.6,1,165,5,1,1,1,13,1,Semi-Automatic,8,0,1,43,8,3,11,0,0,0,0,38.75,1162.6,4.84
Villa,3,918,2,3,2,1,Composite,Tier 2,Average,Double Pane,Sloped Tiled,1,2,4,8.7,3,21,1,2,5,Electric Geyser,50,2.1,1,165,4,1,0,1,12,0,None,0,0,2,32,9.4,2,4.1,0,0,0,0,39.29,1178.7,4.91
Apartment,4,1768,1,2,2,0,Composite,Tier 2,Poor,Double Pane,Sloped Tiled,1,1,5,10.5,3,13,4,1,3.1,None,0,0,1,190,3,1,0,0,0,1,Semi-Automatic,2,0,1,65,2.7,3,3.2,0,0,0,0,22.65,679.4,2.83
Independent House,4,1878,1,1,1,0,Hot & Dry,Tier 2,Excellent,Single Pane,Insulated RCC,1,3,3,17,6,5,5,1,8.7,None,0,0,1,400,3,1,0,0,0,1,Top Load,3,0,1,43,5.3,3,9,0,0,0,0,81.28,2438.3,10.16
Independent House,2,704,2,4,1,3,Temperate,Tier 1,Average,Single Pane,Sloped Tiled,1,2,4,16.6,3,9,8,2,8.5,Electric Geyser,50,3,1,190,2,1,1,0,0,1,Front Load,4,0,2,75,9.4,1,5.7,0,0,0,0,58.14,1744.2,7.27
Apartment,4,1613,1,2,2,0,Hot & Dry,Tier 1,Poor,Single Pane,Insulated RCC,1,3,3,5.3,2,6,5,4,4.7,Electric Geyser,10,1.2,1,165,4,0,0,0,0,1,Top Load,7,0,1,40,3.6,1,5.2,0,0,0,0,41.87,1256.2,5.23
Independent House,1,300,2,2,2,0,Composite,Tier 3,Poor,Single Pane,Flat RCC,1,3,2,5.8,2,22,9,4,11.5,Heat Pump,10,1.9,1,500,3,1,0,1,12,1,Front Load,5,0,1,43,9.5,2,8.7,0,0,0,0,56.77,1703,7.1
Apartment,3,1115,1,3,1,2,Composite,Tier 3,Poor,Single Pane,Flat RCC,1,1,3,10.9,5,8,4,0,6.7,Electric Geyser,15,1.6,1,280,5,1,1,0,0,1,Front Load,2,0,1,65,6.2,2,5.3,1,2,0,0,26.14,784.1,4.39
Apartment,2,811,1,3,2,1,Hot & Dry,Tier 2,Poor,Triple Pane,Flat RCC,1,3,2,5.5,2,10,0,2,3.2,Electric Geyser,25,1.9,1,165,3,1,0,0,0,1,Top Load,7,0,2,32,2.8,1,7.7,1,1,0,0,43.84,1315.1,6.04
